Ministerium,Datum,Ort,Anlass,Begleitung
BMU,20.-21.07.2015,Frankreich,,
BMU,19.- 20.08.2015,Brasilien,,
BMU,13. -14.09.2015,Italien,,
BMU,17. -18.09.2015,Belgien,,
BMU,25. -27.09.2015,USA,,
BMU,01 .10.2015,Schweiz,,
BMU,22.10.2015,Belgien,,
BMU,26.10.2015,Luxemburg,,
BMU,08. -11 .11 .2015,China,,
BMU,28.11.-30.11 .2015,Frankreich,,
BMU,02.12.2015,Schweiz,,
BMU,06.12. -13.12.2015,Frankreich,,
BMU,01.02.2016,Belgien,,
BMU,21 . -22.03.2016,Ukraine,,
BMU,07.04.2016,Frankreich,,
BMU,14.-15.04.2016,Niederlande,,
BMU,17. - 20.04.2016,China,,
BMU,21 .04. - 22.04.2016,USA,,
BMU,12. -13.05.2016,Österreich,,
BMU,14. -20.05.2016,Japan,,
BMU,26. -28.05.2016,Italien,,
BMU,30.05.2016,Niederlande,,
BMU,19. -20.06.2016,Luxemburg,,
BMAS,17.02.2014,Frankreich,,
BMAS,19.02.2014,Frankreich,,
BMAS,24.-25.02.2014 ,Israel,,
BMAS,10.03.2014,Belgien,,
BMAS,26.-27.04.2014 ,Italien,,
BMAS,18.06.2014,Luxemburg,,
BMAS,11.07.2014,Frankreich,,
BMAS,29.09.2014,Italien,,
BMAS,02.10.2014,Rumänien,,
BMAS,01.-02.12.2014,Frankreich,,
BMAS,27.04.2015,Polen,,
BMAS,17.-18.06.2015,Luxemburg,,
BMAS,24.-28.08.2015 ,USA,,
BMAS,03.-04.09.2015 ,Türkei,,
BMAS,06.10.2015,Frankreich,,
BMAS,14.10.2015,Belgien,,
BMAS,10.11.2015,Luxemburg,,
BMAS,14.-15.01.2016 ,Frankreich,,
BMG,19.02.2014,Frankreich,Deutsch-Französischer Ministerrat,
BMG,24.-25.02.2014,Israel,Deutsch-israelische Regierungskonsultationen,
BMG,28.-29.04.2014,Griechenland,Informeller EU-Ministerrat,
BMG,19. - 20. Mai 2014,Schweiz,WHO Weltgesundheitsversammlung,
BMG,21 . - 22. August 2014,Schweiz,"Treffen der deutschspachigen Gesundheitsminister: Osterreich.Schweiz, Luxemburg, Liechtenstein,Deutschland",
BMG,16. Oktober 2014,Belgien,Treffen der EU-Gesundheitsministern zu Ebola,
BMG,09. - 12. Dezember 2014,Japan,GHSI-Ministertagung,
BMG,21 .- 24. Januar 2015,Schweiz,World EconomicForum,
BMG,9. -13. März 2015,USA,Gesundheitspol. Delegationsreise,
BMG,16.-17. März 2015,Schweiz,WHO-Konferenz zu Demenz,
BMG,07. -11. April 2015,"Liberia, Ghana",Gesundheitspolit. Delegationsreise zu Ebola,3 Personen Humanitäre Hilfe
BMG,18. -19. Mai 2015,Schweiz,WHO Weltgesundheitsversammlung,
BMG,19.- 21. August 2015,Brasilien,D-BRA-Regierungskonsultationen,
BMG,03.-04. September 2015,Österreich,Gesundheitsquintett (Treffen mit deutschsprachigen Gesundheitsministern),
BMG,20.-23. Januar 2016,Schweiz,World Economic Forum,
BMG,23. - 26. Februar 2016,USA,GHSI Ministertreffen,
BMG,09. - 10. März 2016,Großbritannien,Internationaler Gipfel zu Patientenrecht,1 Vertreter Ärztekammer
BMG,04. April 2016,Belgien,Treffen mit EU-Kommissar,
BMG,07. April 2016,Frankreich,D-FRA-Ministerrat,
BMG,18. April 2016,Niederlande,Informelles Treffen EU-Gesundheitsminister,
BMG,22. - 24. Mai 2016,Schweiz,WHO,3 GIZ-Mitarbeiter
BMG,07. -10. Juni 2016,USA,VN High Level-Meeting zu HIV/AIDS,GIZ-Vertreter und Aids-Hilfe und weitere
BMG,11.-16. Juni 2016,China,D-CHIN-Regierungskonsultationen,wissenschaftlicher Berater
BMG,August 2016,,Gesundheitspolitische Informationsreise,Helmholtz-Gesellschaft
BMFSFJ,18.-19.02.2014,Frankreich,,
BMFSFJ,24.-25.02.2014,Israel,,
BMFSFJ,08.-13.03.2015,USA,,
BMBF,19.02.2014,Frankreich,,
BMBF,24.-25.02.2014,Israel,,
BMBF,27.-29.04.2014,Türkei,,
BMBF,29.09.2014,Schweiz,,
BMBF,05.12-2014,Belgien,,
BMBF,08.12.2014,Frankreich,,
BMBF,10.-11.02.2015,Israel,,
BMBF,11.-12.03.2015,Türkei,,
BMBF,07.-10.04.2015,Norwegen,,
BMBF,27.04.2015,Polen,,
BMBF,03.-05. Mai 2015,Jordanien,,
BMBF,22.-23.06.2015,Portugal,,
BMBF,04.-05.10.2015,Indien ,,
BMBF,01.12.2015,Belgien,,
BMBF,18.-21.01.2016,China,,
BMBF,07.-12.02.2016,Mexico und Costa-Rica,,
BMBF,02.-03.05.2016,Italien,,
BMBF,14.-19.05.2016,Japan,,
BMBF,11.-13.06.2016,China,,
BMEL,21.-24.03.2015,China,,
BMEL,14.-18.04.2015,Sambia,,
BMEL,13.-14.05.2015,New York,,
BMEL,09.-10.04.2016,Iran,,
BMJV,10.02.2014,Frankreich,ohne Externe,
